,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,Ticker,trailingPE
0,1,2,50.57,50.72,50.28,51.535,50.57,50.72,50.28,51.535,1.81,0.0352,2023-10-30 01:00:00,0.65379995,2.96,0.571,16.771988,2181830,2181830,1784087,1976290,1976290,50.68,52.39,1000,900,13139167232,45.15,57.52,3.1860251,49.2758,51.85425,1.785,0.035297606,USD,,,,,,False,LNT,18.860806
0,1,2,132.53,131.86,130.665,132.11,132.53,131.86,130.665,132.11,,,,0.0,,1.05,19.710014,30291494,30291494,27037806,25457280,25457280,131.88,131.97,900,3000,1658772389888,84.86,141.22,5.582611,133.3684,120.79785,0.0,0.0,USD,,,,,,False,GOOGL,25.260538
0,1,2,133.92,133.32,132.16,133.5,133.92,133.32,132.16,133.5,,,,0.0,,1.05,21.891626,23929770,23929770,20915866,19903770,19903770,133.32,133.4,1300,900,1658647609344,85.57,142.38,5.582191,134.6532,121.56743,0.0,0.0,USD,,,,,,False,GOOG,25.491398
0,1,2,42.04,42.15,42.1176,42.63,42.04,42.15,42.1176,42.63,3.92,0.092,2023-09-14 02:00:00,0.77550006,7.63,0.692,9.063829,6645980,6645980,8544631,6488480,6488480,42.55,42.59,2900,2200,75344486400,39.07,48.11,3.6644368,41.4698,44.21145,3.8,0.0903901,USD,,,,,,False,MO,8.693877
0,1,2,146.09,146.0,145.57,147.245,146.09,146.0,145.57,147.245,,,,0.0,,1.175,45.101227,36855243,36855243,53488885,47368500,47368500,147.0,147.11,800,1200,1519407988736,81.43,149.26,2.7424753,134.9444,122.4362,0.0,0.0,USD,,,,,,False,AMZN,76.97906
0,1,2,9.48,9.46,9.35,9.58,9.48,9.46,9.35,9.58,0.5,0.0523,2023-11-21 01:00:00,0.7481,,0.862,12.91892,6314545,6314545,7669550,6888010,6888010,9.42,9.58,3200,3000,13817451520,8.45,12.78,0.9578823,9.0122,9.95635,0.493,0.05200422,USD,,,,,,False,AMCR,14.707693
0,1,2,121.16,119.88,118.65,121.4001,121.16,119.88,118.65,121.4001,,,1995-04-27 02:00:00,0.0,,1.654,35.59824,36552392,36552392,52438609,38275380,38275380,121.38,121.32,800,900,196105551872,60.05,132.83,8.86914,108.8022,104.20825,0.0,0.0,USD,,,,,,False,AMD,1103.5454
0,1,2,77.59,77.62,77.365,78.98,77.59,77.62,77.365,78.98,2.52,0.0319,2023-12-12 01:00:00,0.56240004,2.63,0.487,16.873932,1930077,1930077,1712065,1709710,1709710,77.0,82.0,800,800,20764766208,69.71,92.44,2.7182572,76.5938,82.1111,2.48,0.031962883,USD,,,,,,False,AEE,17.90703
0,1,2,12.43,12.46,12.445,13.06,12.43,12.46,12.445,13.06,,,2020-02-04 01:00:00,0.0,1.27,1.582,6.2000003,48657644,48657644,34888588,30640960,30640960,12.99,12.97,1200,1400,8509104128,10.86,19.08,0.16081007,12.046,14.40425,0.0,0.0,USD,,,,,,False,AAL,5.4476986
0,1,2,79.55,79.83,79.38,80.77,79.55,79.83,79.38,80.77,3.52,0.0437,2023-11-09 01:00:00,0.7615,3.37,0.496,14.351159,2784595,2784595,3455684,2988360,2988360,80.51,80.66,800,800,42338279424,69.38,100.32,2.195263,76.244,83.6582,3.32,0.041734755,USD,,,,,,False,AEP,18.465597
0,1,2,208.78,208.4,206.13,210.835,208.78,208.4,206.13,210.835,6.48,0.0308,2023-10-10 02:00:00,3.1267002,2.12,0.633,43.756756,2073163,2073163,2278020,2113610,2113610,207.0,210.99,1000,900,98113748992,154.58,235.57,8.86904,177.3238,188.3648,6.31,0.030223202,USD,,,,,,False,AMT,141.25504
0,1,2,131.84,131.57,130.63,133.43,131.84,131.57,130.63,133.43,2.83,0.0212,2023-11-13 01:00:00,0.56299996,1.62,0.626,25.871845,1057315,1057315,1245922,1173100,1173100,130.99,132.84,800,800,25942493184,114.25,162.59,6.276916,124.0308,138.7237,2.725,0.020668993,USD,,,,,,False,AWK,27.528925
