symbol,asOfDate,periodType,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,ForwardPeRatio,MarketCap,PbRatio,PeRatio,PegRatio,PsRatio,Ticker
DD,2022-09-30,3M,34882598576.0,38.374696,10.516309,12.6103,25035598576.0,0.980711,16.912752,0.9765,1.51556,DD
DD,2022-12-31,3M,44160625501.0,96.42058,14.227006,18.0505,34094625501.0,1.262237,21.649842,1.5503,2.027741,DD
DD,2023-03-31,3M,36053642769.0,49.524235,11.946204,19.1205,32943642769.0,1.239928,35.529703,1.835,2.753471,DD
DD,2023-06-30,3M,36015858803.0,48.934591,11.640549,19.5695,32792858803.0,1.226497,32.770642,1.91,2.720777,DD
DD,2023-09-30,3M,37359361258.0,46.466867,12.216927,17.9533,34241361258.0,1.310774,36.743842,2.1962,2.823386,DD
EMN,2022-09-30,3M,13060315362.0,29.615228,4.821084,7.9302,8525315362.0,1.6016,7.773523,1.8836,0.862731,EMN
EMN,2022-12-31,3M,14376015244.0,74.487126,6.058161,10.2987,9772015244.0,1.796957,9.028825,2.7531,0.961502,EMN
EMN,2023-03-31,3M,14707262980.0,38.003264,6.097539,10.6724,10049262980.0,1.950177,13.28189,1.3132,0.995658,EMN
EMN,2023-06-30,3M,14976486050.0,33.883453,6.444271,10.7411,9925486050.0,1.913162,14.765432,1.3218,0.994979,EMN
EMN,2023-09-30,3M,14122595912.0,37.560096,6.229641,9.1827,9095595912.0,1.721707,12.959459,1.0083,0.940832,EMN
ETN,2022-09-02,TTM,64148590000.0,,,16.3666,54686590000.0,3.33862,23.836806,1.7793,2.788353,ETN
ETN,2022-09-05,TTM,,15.372296,3.243924,,,,,,,ETN
ETN,2022-09-30,3M,62499272000.0,62.876531,11.763462,15.8983,53037272000.0,3.237929,23.152778,1.7282,2.708338,ETN
ETN,2022-12-31,3M,71356015000.0,79.727391,13.253346,19.0114,62419015000.0,3.885655,27.486865,2.0672,3.122695,ETN
ETN,2023-03-31,3M,76855124000.0,94.649167,14.016984,20.79,68296124000.0,4.008459,27.905537,2.2885,3.309227,ETN
ETN,2023-06-30,3M,88976900000.0,94.656277,15.168241,23.8095,80238900000.0,4.598481,31.421875,2.4959,3.76475,ETN
ETN,2023-09-30,3M,93550720000.0,84.128345,15.909986,21.8818,85098720000.0,4.740084,31.503693,2.1897,3.874388,ETN
EBAY,2022-09-30,3M,25145640000.0,318.299241,10.565395,8.7642,20024640000.0,3.81931,,1.6081,2.219108,EBAY
EBAY,2022-12-31,3M,27301072337.0,27.549013,10.876921,9.8717,22504072337.0,4.605879,,2.1053,2.41643,EBAY
EBAY,2023-03-31,3M,25731320000.0,29.81613,10.251522,10.7066,23782320000.0,4.615238,,2.5369,2.527663,EBAY
EBAY,2023-06-30,3M,25231770000.0,62.300667,9.933768,10.582,23819770000.0,4.421713,42.561905,2.5755,2.486569,EBAY
EBAY,2023-09-30,3M,24571819325.0,44.514165,9.828728,9.9108,23462819325.0,4.352088,18.603376,3.6832,2.404103,EBAY
ECL,2022-09-02,TTM,55127955581.0,,,28.0899,46065655581.0,6.494157,42.203655,1.8741,3.444168,ECL
ECL,2022-09-05,TTM,,22.131742,4.073685,,,,,,,ECL
